FIPS,Primary County Coordinates,County,City,Year,Estimate,FIPS.County.Code
1900370,"(41.3307464, -94.4709413)",Adair,Adair (pt.),April 01 2010,762,19003
1908425,"(41.3307464, -94.4709413)",Adair,Bridgewater,April 01 2010,182,19084
1911395,"(41.3307464, -94.4709413)",Adair,Casey (pt.),April 01 2010,10,19113
1928290,"(41.3307464, -94.4709413)",Adair,Fontanelle,April 01 2010,672,19282
1932790,"(41.3307464, -94.4709413)",Adair,Greenfield,April 01 2010,1982,19327
1959565,"(41.3307464, -94.4709413)",Adair,Orient,April 01 2010,408,19595
1975990,"(41.3307464, -94.4709413)",Adair,Stuart (pt.),April 01 2010,699,19759
1999990,"(41.3307464, -94.4709413)",Adair,Balance of Adair County,April 01 2010,2967,19999
1910585,"(41.0289839, -94.6991849)",Adams,Carbon,April 01 2010,34,19105
1916500,"(41.0289839, -94.6991849)",Adams,Corning,April 01 2010,1635,19165
1944490,"(41.0289839, -94.6991849)",Adams,Lenox (pt.),April 01 2010,0,19444
1956865,"(41.0289839, -94.6991849)",Adams,Nodaway,April 01 2010,114,19568
1964560,"(41.0289839, -94.6991849)",Adams,Prescott,April 01 2010,257,19645
1999990,"(41.0289839, -94.6991849)",Adams,Balance of Adams County,April 01 2010,1989,19999
1934590,"(43.2842838, -91.3780923)",Allamakee,Harpers Ferry,April 01 2010,328,19345
1943275,"(43.2842838, -91.3780923)",Allamakee,Lansing,April 01 2010,999,19432
1955785,"(43.2842838, -91.3780923)",Allamakee,New Albin,April 01 2010,522,19557
1964290,"(43.2842838, -91.3780923)",Allamakee,Postville (pt.),April 01 2010,1947,19642
1982470,"(43.2842838, -91.3780923)",Allamakee,Waterville,April 01 2010,144,19824
1982740,"(43.2842838, -91.3780923)",Allamakee,Waukon,April 01 2010,3897,19827
1999990,"(43.2842838, -91.3780923)",Allamakee,Balance of Allamakee County,April 01 2010,6493,19999
1912315,"(40.7431635, -92.8686104)",Appanoose,Centerville,April 01 2010,5528,19123
1913395,"(40.7431635, -92.8686104)",Appanoose,Cincinnati,April 01 2010,357,19133
1926310,"(40.7431635, -92.8686104)",Appanoose,Exline,April 01 2010,160,19263
1953985,"(40.7431635, -92.8686104)",Appanoose,Moravia (pt.),April 01 2010,663,19539
1954390,"(40.7431635, -92.8686104)",Appanoose,Moulton,April 01 2010,605,19543
1955200,"(40.7431635, -92.8686104)",Appanoose,Mystic,April 01 2010,425,19552
1957945,"(40.7431635, -92.8686104)",Appanoose,Numa,April 01 2010,92,19579
1963345,"(40.7431635, -92.8686104)",Appanoose,Plano,April 01 2010,70,19633
1965730,"(40.7431635, -92.8686104)",Appanoose,Rathbun,April 01 2010,89,19657
1979410,"(40.7431635, -92.8686104)",Appanoose,Udell,April 01 2010,47,19794
1979680,"(40.7431635, -92.8686104)",Appanoose,Unionville,April 01 2010,102,19796
1999990,"(40.7431635, -92.8686104)",Appanoose,Balance of Appanoose County,April 01 2010,4749,19999
1903655,"(41.6845893, -94.9058222)",Audubon,Audubon,April 01 2010,2176,19036
1908200,"(41.6845893, -94.9058222)",Audubon,Brayton,April 01 2010,128,19082
1926265,"(41.6845893, -94.9058222)",Audubon,Exira,April 01 2010,840,19262
1932565,"(41.6845893, -94.9058222)",Audubon,Gray,April 01 2010,63,19325
1941295,"(41.6845893, -94.9058222)",Audubon,Kimballton,April 01 2010,322,19412
1999990,"(41.6845893, -94.9058222)",Audubon,Balance of Audubon County,April 01 2010,2590,19999
1903475,"(42.0801864, -92.0656912)",Benton,Atkins,April 01 2010,1670,19034
1905590,"(42.0801864, -92.0656912)",Benton,Belle Plaine,April 01 2010,2534,19055
1906805,"(42.0801864, -92.0656912)",Benton,Blairstown,April 01 2010,692,19068
1930000,"(42.0801864, -92.0656912)",Benton,Garrison,April 01 2010,371,19300
1941115,"(42.0801864, -92.0656912)",Benton,Keystone,April 01 2010,622,19411
1947505,"(42.0801864, -92.0656912)",Benton,Luzerne,April 01 2010,96,19475
1954435,"(42.0801864, -92.0656912)",Benton,Mount Auburn,April 01 2010,150,19544
1956055,"(42.0801864, -92.0656912)",Benton,Newhall,April 01 2010,875,19560
1957720,"(42.0801864, -92.0656912)",Benton,Norway,April 01 2010,545,19577
1972480,"(42.0801864, -92.0656912)",Benton,Shellsburg,April 01 2010,983,19724
1979905,"(42.0801864, -92.0656912)",Benton,Urbana,April 01 2010,1458,19799
1980400,"(42.0801864, -92.0656912)",Benton,Van Horne,April 01 2010,682,19804
1981210,"(42.0801864, -92.0656912)",Benton,Vinton,April 01 2010,5257,19812
1981840,"(42.0801864, -92.0656912)",Benton,Walford (pt.),April 01 2010,1081,19818
1999990,"(42.0801864, -92.0656912)",Benton,Balance of Benton County,April 01 2010,9060,19999
1911755,"(42.4700957, -92.3088197)",Black Hawk,Cedar Falls,April 01 2010,39260,19117
1922845,"(42.4700957, -92.3088197)",Black Hawk,Dunkerton,April 01 2010,852,19228
1924870,"(42.4700957, -92.3088197)",Black Hawk,Elk Run Heights,April 01 2010,1117,19248
1925995,"(42.4700957, -92.3088197)",Black Hawk,Evansdale,April 01 2010,4751,19259
1930675,"(42.4700957, -92.3088197)",Black Hawk,Gilbertville,April 01 2010,712,19306
1937470,"(42.4700957, -92.3088197)",Black Hawk,Hudson,April 01 2010,2282,19374
1939405,"(42.4700957, -92.3088197)",Black Hawk,Janesville (pt.),April 01 2010,127,19394
1939585,"(42.4700957, -92.3088197)",Black Hawk,Jesup (pt.),April 01 2010,117,19395
1943365,"(42.4700957, -92.3088197)",Black Hawk,La Porte City,April 01 2010,2285,19433
1965820,"(42.4700957, -92.3088197)",Black Hawk,Raymond,April 01 2010,788,19658
1982425,"(42.4700957, -92.3088197)",Black Hawk,Waterloo,April 01 2010,68406,19824
1999990,"(42.4700957, -92.3088197)",Black Hawk,Balance of Black Hawk County,April 01 2010,10393,19999
1905185,"(42.0365493, -93.931671)",Boone,Beaver,April 01 2010,48,19051
1906040,"(42.0365493, -93.931671)",Boone,Berkley,April 01 2010,32,19060
1907480,"(42.0365493, -93.931671)",Boone,Boone,April 01 2010,12661,19074
1907750,"(42.0365493, -93.931671)",Boone,Boxholm,April 01 2010,195,19077
1928920,"(42.0365493, -93.931671)",Boone,Fraser,April 01 2010,102,19289
1947280,"(42.0365493, -93.931671)",Boone,Luther,April 01 2010,122,19472
1948450,"(42.0365493, -93.931671)",Boone,Madrid,April 01 2010,2543,19484
1958665,"(42.0365493, -93.931671)",Boone,Ogden,April 01 2010,2044,19586
1962850,"(42.0365493, -93.931671)",Boone,Pilot Mound,April 01 2010,173,19628
1972345,"(42.0365493, -93.931671)",Boone,Sheldahl (pt.),April 01 2010,29,19723
1986970,"(42.0365493, -93.931671)",Boone,Woodward (pt.),April 01 2010,,19869
1999990,"(42.0365493, -93.931671)",Boone,Balance of Boone County,April 01 2010,8357,19999
1920035,"(42.7745873, -92.3180548)",Bremer,Denver,April 01 2010,1780,19200
1929010,"(42.7745873, -92.3180548)",Bremer,Frederika,April 01 2010,183,19290
1939405,"(42.7745873, -92.3180548)",Bremer,Janesville (pt.),April 01 2010,803,19394
1963210,"(42.7745873, -92.3180548)",Bremer,Plainfield,April 01 2010,436,19632
1965910,"(42.7745873, -92.3180548)",Bremer,Readlyn,April 01 2010,808,19659
1976260,"(42.7745873, -92.3180548)",Bremer,Sumner (pt.),April 01 2010,2006,19762
1978915,"(42.7745873, -92.3180548)",Bremer,Tripoli,April 01 2010,1313,19789
1982875,"(42.7745873, -92.3180548)",Bremer,Waverly,April 01 2010,9874,19828
1999990,"(42.7745873, -92.3180548)",Bremer,Balance of Bremer County,April 01 2010,7073,19999
1903835,"(42.4707777, -91.8378392)",Buchanan,Aurora,April 01 2010,185,19038
1908155,"(42.4707777, -91.8378392)",Buchanan,Brandon,April 01 2010,309,19081
1926355,"(42.4707777, -91.8378392)",Buchanan,Fairbank (pt.),April 01 2010,817,19263
1935580,"(42.4707777, -91.8378392)",Buchanan,Hazleton,April 01 2010,823,19355
1938100,"(42.4707777, -91.8378392)",Buchanan,Independence,April 01 2010,5966,19381
1939585,"(42.4707777, -91.8378392)",Buchanan,Jesup (pt.),April 01 2010,2403,19395
1943005,"(42.4707777, -91.8378392)",Buchanan,Lamont,April 01 2010,461,19430
1965235,"(42.4707777, -91.8378392)",Buchanan,Quasqueton,April 01 2010,554,19652
1969060,"(42.4707777, -91.8378392)",Buchanan,Rowley,April 01 2010,264,19690
1974955,"(42.4707777, -91.8378392)",Buchanan,Stanley (pt.),April 01 2010,119,19749
1986565,"(42.4707777, -91.8378392)",Buchanan,Winthrop,April 01 2010,850,19865
1999990,"(42.4707777, -91.8378392)",Buchanan,Balance of Buchanan County,April 01 2010,8207,19999
1900865,"(42.7354936, -95.151149)",Buena Vista,Albert City,April 01 2010,699,19008
1901495,"(42.7354936, -95.151149)",Buena Vista,Alta,April 01 2010,1883,19014
1942645,"(42.7354936, -95.151149)",Buena Vista,Lakeside,April 01 2010,596,19426
1945480,"(42.7354936, -95.151149)",Buena Vista,Linn Grove,April 01 2010,154,19454
1949260,"(42.7354936, -95.151149)",Buena Vista,Marathon,April 01 2010,237,19492
1955965,"(42.7354936, -95.151149)",Buena Vista,Newell,April 01 2010,876,19559
1966360,"(42.7354936, -95.151149)",Buena Vista,Rembrandt,April 01 2010,203,19663
1973425,"(42.7354936, -95.151149)",Buena Vista,Sioux Rapids,April 01 2010,775,19734
1975630,"(42.7354936, -95.151149)",Buena Vista,Storm Lake,April 01 2010,10600,19756
1979095,"(42.7354936, -95.151149)",Buena Vista,Truesdale,April 01 2010,81,19790
1999990,"(42.7354936, -95.151149)",Buena Vista,Balance of Buena Vista County,April 01 2010,4156,19999
1901315,"(42.7315661, -92.7901934)",Butler,Allison,April 01 2010,1029,19013
1902395,"(42.7315661, -92.7901934)",Butler,Aplington,April 01 2010,1128,19023
1902620,"(42.7315661, -92.7901934)",Butler,Aredale,April 01 2010,74,19026
1908560,"(42.7315661, -92.7901934)",Butler,Bristow,April 01 2010,160,19085
1913755,"(42.7315661, -92.7901934)",Butler,Clarksville,April 01 2010,1439,19137
1922620,"(42.7315661, -92.7901934)",Butler,Dumont,April 01 2010,637,19226
1932745,"(42.7315661, -92.7901934)",Butler,Greene (pt.),April 01 2010,1130,19327
1956145,"(42.7315661, -92.7901934)",Butler,New Hartford,April 01 2010,516,19561
1961590,"(42.7315661, -92.7901934)",Butler,Parkersburg,April 01 2010,1870,19615
1972435,"(42.7315661, -92.7901934)",Butler,Shell Rock,April 01 2010,1296,19724
