Year,FIPS County Code,County Name,DHS Service Area,Judicial District,Abuse Type,Occurences,County Primary Point,US Counties,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),Iowa ZIP Code Tabulation Areas
2017,19005,Allamakee,2-Northern    ,1-First JD,Dangerous Substance,10,"(43.2842838, -91.3780923)",1365,33,3,371
2017,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,14,"(41.3352035, -92.6409094)",290,133,11,914
2017,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),18,"(40.7532294, -91.9499871)",1885,368,30,798
2017,19137,Montgomery,1-Western     ,4-FourthJD,Allows Access by Registered Sex Offender,5,"(41.03014, -95.1563758)",1834,462,46,141
2017,19001,Adair,5-Des Moines  ,5-FifthJD,Sexual Abuse,7,"(41.3307464, -94.4709413)",174,469,47,474
2017,19109,Kossuth,1-Western     ,3-Third JD,Allows Access by Registered Sex Offender,2,"(43.20413, -94.2067199)",1794,163,24,335
2017,19153,Polk,5-Des Moines  ,5-FifthJD,Dangerous Substance,229,"(41.6855048, -93.5735335)",1878,342,29,503
2017,19153,Polk,5-Des Moines  ,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),201,"(41.6855048, -93.5735335)",1878,342,29,503
2017,19035,Cherokee,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),34,"(42.7356226, -95.6238055)",181,429,37,286
2017,19099,Jasper,4-Cedar Rapids,5-FifthJD,Dangerous Substance,26,"(41.6860394, -93.053765)",1791,132,11,903
2017,19033,Cerro Gordo,2-Northern    ,2-Second JD,Sexual Abuse,17,"(43.0815577, -93.2608184)",1373,207,16,647
2017,19191,Winneshiek,2-Northern    ,1-First JD,Sexual Abuse,5,"(43.2906746, -91.8437074)",1890,41,4,855
2017,19077,Guthrie,1-Western     ,5-FifthJD,Dangerous Substance,13,"(41.6837548, -94.501055)",1784,336,28,310
2017,19155,Pottawattamie,1-Western     ,4-FourthJD,Physical Abuse,38,"(41.3366123, -95.5423935)",1879,442,43,604
2017,19023,Butler,2-Northern    ,2-Second JD,Physical Abuse,6,"(42.7315661, -92.7901934)",1370,228,17,639
2017,19047,Crawford,1-Western     ,3-Third JD,Sexual Abuse,1,"(42.0372125, -95.3819678)",275,241,41,536
2017,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Physical Abuse,7,"(40.7532294, -91.9499871)",1885,368,30,798
2017,19079,Hamilton,2-Northern    ,2-Second JD,Physical Abuse,5,"(42.3837722, -93.7068085)",281,122,11,782
2017,19019,Buchanan,2-Northern    ,1-First JD,Sexual Abuse,10,"(42.4707777, -91.8378392)",1369,95,8,270
2017,19095,Iowa,4-Cedar Rapids,6-SixthJD,Dangerous Substance,5,"(41.6863229, -92.065524)",284,23,22,178
2017,19159,Ringgold,5-Des Moines  ,5-FifthJD,Physical Abuse,1,"(40.7352023, -94.2439719)",297,452,51,843
2017,19121,Madison,5-Des Moines  ,5-FifthJD,Sexual Abuse,2,"(41.3307142, -94.0155619)",289,347,29,207
2017,19139,Muscatine,3-Eastern     ,7-Seventh JD,Physical Abuse,39,"(41.4839221, -91.1127562)",1835,17,19,445
2017,19085,Harrison,1-Western     ,4-FourthJD,Sexual Abuse,6,"(41.6828528, -95.8169209)",1787,243,41,569
2017,19169,Story,5-Des Moines  ,2-Second JD,Mental Injury,3,"(42.0362415, -93.4650448)",299,126,11,230
2017,19171,Tama,4-Cedar Rapids,6-SixthJD,Sexual Abuse,8,"(42.0798117, -92.5325425)",1883,281,21,700
2017,19077,Guthrie,1-Western     ,5-FifthJD,Physical Abuse,3,"(41.6837548, -94.501055)",1784,336,28,310
2017,19081,Hancock,2-Northern    ,2-Second JD,Allows Access by Registered Sex Offender,2,"(43.0818861, -93.7342723)",1785,18,20,897
2017,19145,Page,1-Western     ,4-FourthJD,Denial of Critical Care (Neglect),79,"(40.7391444, -95.1501747)",1837,463,46,598
2017,19167,Sioux,1-Western     ,3-Third JD,Dangerous Substance,18,"(43.0826174, -96.1778827)",1882,199,33,927
2017,19093,Ida,1-Western     ,3-Third JD,Physical Abuse,7,"(42.3868747, -95.5134962)",1789,230,39,746
2017,19089,Howard,2-Northern    ,1-First JD,Denial of Critical Care (Neglect),56,"(43.3567673, -92.3171989)",1788,13,6,429
2017,19141,OBrien,1-Western     ,3-Third JD,Dangerous Substance,27,"(43.0837527, -95.6248784)",293,427,37,211
2017,19193,Woodbury,1-Western     ,3-Third JD,Sexual Abuse,65,"(42.3897169, -96.0447673)",1891,222,38,622
2017,19117,Lucas,5-Des Moines  ,5-FifthJD,Allows Access by Registered Sex Offender,2,"(41.0293738, -93.3277207)",288,354,29,446
2017,19105,Jones,4-Cedar Rapids,6-SixthJD,Sexual Abuse,2,"(42.1212397, -91.1314352)",286,74,7,333
2017,19077,Guthrie,1-Western     ,5-FifthJD,Denial of Critical Care (Neglect),38,"(41.6837548, -94.501055)",1784,336,28,310
2017,19079,Hamilton,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),37,"(42.3837722, -93.7068085)",281,122,11,782
2017,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,6,"(41.3352035, -92.6409094)",290,133,11,914
2017,19061,Dubuque,3-Eastern     ,1-First JD,Allows Access by Registered Sex Offender,3,"(42.468832, -90.8824564)",1780,49,5,868
2017,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),4,"(40.7431635, -92.8686104)",175,534,54,210
2017,19025,Calhoun,2-Northern    ,2-Second JD,Denial of Critical Care (Neglect),25,"(42.3851848, -94.6404136)",1371,326,27,121
2017,19155,Pottawattamie,1-Western     ,4-FourthJD,Dangerous Substance,129,"(41.3366123, -95.5423935)",1879,442,43,604
2017,19151,Pocahontas,2-Northern    ,2-Second JD,Dangerous Substance,8,"(42.7341351, -94.6787466)",295,169,25,352
2017,19097,Jackson,3-Eastern     ,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),12,"(42.1717426, -90.5742294)",1790,80,7,869
2017,19015,Boone,5-Des Moines  ,2-Second JD,Physical Abuse,13,"(42.0365493, -93.931671)",1368,313,25,859
2017,19029,Cass,1-Western     ,4-FourthJD,Sexual Abuse,20,"(41.3314876, -94.9278266)",1372,260,44,475
2017,19161,Sac,1-Western     ,2-Second JD,Denial of Critical Care (Neglect),41,"(42.3862604, -95.1053946)",1880,324,27,97
2017,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Sexual Abuse,3,"(40.7532294, -91.9499871)",1885,368,30,798
2017,19047,Crawford,1-Western     ,3-Third JD,Physical Abuse,6,"(42.0372125, -95.3819678)",275,241,41,536
2017,19117,Lucas,5-Des Moines  ,5-FifthJD,Sexual Abuse,1,"(41.0293738, -93.3277207)",288,354,29,446
2017,19163,Scott,3-Eastern     ,7-Seventh JD,Allows Access by Registered Sex Offender,5,"(41.6370978, -90.6232428)",1881,100,9,99
2017,19009,Audubon,1-Western     ,4-FourthJD,Allows Access by Registered Sex Offender,2,"(41.6845893, -94.9058222)",1366,259,44,498
2017,19101,Jefferson,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),109,"(41.0317596, -91.9488774)",285,147,13,326
2017,19067,Floyd,2-Northern    ,2-Second JD,Sexual Abuse,6,"(43.0599208, -92.7890033)",1781,202,15,27
2017,19023,Butler,2-Northern    ,2-Second JD,Sexual Abuse,1,"(42.7315661, -92.7901934)",1370,228,17,639
2017,19143,Osceola,1-Western     ,3-Third JD,Denial of Critical Care (Neglect),24,"(43.3785704, -95.6236852)",1836,421,37,597
2017,19015,Boone,5-Des Moines  ,2-Second JD,Denial of Critical Care (Neglect),76,"(42.0365493, -93.931671)",1368,313,25,859
2017,19073,Greene,1-Western     ,2-Second JD,Dangerous Substance,2,"(42.0362394, -94.3968356)",1783,180,27,780
2017,19073,Greene,1-Western     ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),3,"(42.0362394, -94.3968356)",1783,180,27,780
2017,19031,Cedar,3-Eastern     ,7-Seventh JD,Mental Injury,1,"(41.7723207, -91.1324125)",180,17,19,721
2017,19065,Fayette,2-Northern    ,1-First JD,Physical Abuse,7,"(42.8625919, -91.8443207)",278,54,6,887
2017,19009,Audubon,1-Western     ,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),7,"(41.6845893, -94.9058222)",1366,259,44,498
2017,19071,Fremont,1-Western     ,4-FourthJD,Denial of Critical Care (Neglect),28,"(40.7455892, -95.6046765)",1782,257,43,422
2017,19047,Crawford,1-Western     ,3-Third JD,Dangerous Substance,4,"(42.0372125, -95.3819678)",275,241,41,536
2017,19109,Kossuth,1-Western     ,3-Third JD,Dangerous Substance,2,"(43.20413, -94.2067199)",1794,163,24,335
2017,19053,Decatur,5-Des Moines  ,5-FifthJD,Sexual Abuse,18,"(40.7376827, -93.7862815)",1777,508,52,763
2017,19011,Benton,4-Cedar Rapids,6-SixthJD,Sexual Abuse,14,"(42.0801864, -92.0656912)",1367,248,18,804
2017,19153,Polk,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),1665,"(41.6855048, -93.5735335)",1878,342,29,503
2017,19185,Wayne,5-Des Moines  ,5-FifthJD,Sexual Abuse,1,"(40.7394702, -93.3273639)",1887,531,54,703
2017,19183,Washington,4-Cedar Rapids,8-Eigth JD,Physical Abuse,7,"(41.335591, -91.7178676)",302,140,13,614
2017,19119,Lyon,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),1,"(43.380497, -96.2102924)",1829,209,34,81
2017,19189,Winnebago,2-Northern    ,2-Second JD,Physical Abuse,5,"(43.3775678, -93.7341955)",1889,205,16,616
2017,19121,Madison,5-Des Moines  ,5-FifthJD,Dangerous Substance,18,"(41.3307142, -94.0155619)",289,347,29,207
2017,19063,Emmet,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),10,"(43.3780225, -94.6784803)",277,298,23,659
2017,19141,OBrien,1-Western     ,3-Third JD,Presence of Illegal Drugs in Child's System (PID),8,"(43.0837527, -95.6248784)",293,427,37,211
2017,19149,Plymouth,1-Western     ,3-Third JD,Sexual Abuse,4,"(42.7378346, -96.2140431)",1838,417,36,476
2017,19033,Cerro Gordo,2-Northern    ,2-Second JD,Allows Access by Registered Sex Offender,1,"(43.0815577, -93.2608184)",1373,207,16,647
2017,19099,Jasper,4-Cedar Rapids,5-FifthJD,Sexual Abuse,17,"(41.6860394, -93.053765)",1791,132,11,903
2017,19105,Jones,4-Cedar Rapids,6-SixthJD,Presence of Illegal Drugs in Child's System (PID),18,"(42.1212397, -91.1314352)",286,74,7,333
2017,19153,Polk,5-Des Moines  ,5-FifthJD,Sexual Abuse,118,"(41.6855048, -93.5735335)",1878,342,29,503
2017,19151,Pocahontas,2-Northern    ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),1,"(42.7341351, -94.6787466)",295,169,25,352
2017,19163,Scott,3-Eastern     ,7-Seventh JD,Presence of Illegal Drugs in Child's System (PID),150,"(41.6370978, -90.6232428)",1881,100,9,99
2017,19179,Wapello,4-Cedar Rapids,8-Eigth JD,Physical Abuse,14,"(41.0305845, -92.4094499)",301,363,30,799
2017,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Dangerous Substance,4,"(40.7532294, -91.9499871)",1885,368,30,798
2017,19117,Lucas,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),25,"(41.0293738, -93.3277207)",288,354,29,446
2017,19141,OBrien,1-Western     ,3-Third JD,Physical Abuse,14,"(43.0837527, -95.6248784)",293,427,37,211
2017,19001,Adair,5-Des Moines  ,5-FifthJD,Physical Abuse,6,"(41.3307464, -94.4709413)",174,469,47,474
2017,19077,Guthrie,1-Western     ,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),3,"(41.6837548, -94.501055)",1784,336,28,310
2017,19023,Butler,2-Northern    ,2-Second JD,Dangerous Substance,1,"(42.7315661, -92.7901934)",1370,228,17,639
2017,19043,Clayton,2-Northern    ,1-First JD,Sexual Abuse,2,"(42.8447493, -91.3414328)",274,53,6,138
2017,19165,Shelby,1-Western     ,4-FourthJD,Denial of Critical Care (Neglect),48,"(41.6850926, -95.3102113)",298,254,43,229
2017,19051,Davis,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),18,"(40.7476891, -92.4097173)",1747,370,31,149
2017,19063,Emmet,1-Western     ,3-Third JD,Physical Abuse,20,"(43.3780225, -94.6784803)",277,298,23,659
2017,19037,Chickasaw,2-Northern    ,1-First JD,Sexual Abuse,4,"(43.0600414, -92.3176637)",1374,88,8,131
2017,19065,Fayette,2-Northern    ,1-First JD,Denial of Critical Care (Neglect),66,"(42.8625919, -91.8443207)",278,54,6,887
2017,19081,Hancock,2-Northern    ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),5,"(43.0818861, -93.7342723)",1785,18,20,897
2017,19159,Ringgold,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),10,"(40.7352023, -94.2439719)",297,452,51,843
2017,19137,Montgomery,1-Western     ,4-FourthJD,Presence of Illegal Drugs in Child's System (PID),1,"(41.03014, -95.1563758)",1834,462,46,141
2017,19189,Winnebago,2-Northern    ,2-Second JD,Dangerous Substance,8,"(43.3775678, -93.7341955)",1889,205,16,616
2017,19099,Jasper,4-Cedar Rapids,5-FifthJD,Denial of Critical Care (Neglect),93,"(41.6860394, -93.053765)",1791,132,11,903
2017,19197,Wright,2-Northern    ,2-Second JD,Physical Abuse,6,"(42.7331189, -93.7351465)",304,320,26,626
2017,19127,Marshall,2-Northern    ,2-Second JD,Dangerous Substance,19,"(42.0358499, -92.9987706)",1831,277,21,89
2017,19161,Sac,1-Western     ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),2,"(42.3862604, -95.1053946)",1880,324,27,97
2017,19121,Madison,5-Des Moines  ,5-FifthJD,Mental Injury,2,"(41.3307142, -94.0155619)",289,347,29,207
2017,19001,Adair,5-Des Moines  ,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),1,"(41.3307464, -94.4709413)",174,469,47,474
2017,19185,Wayne,5-Des Moines  ,5-FifthJD,Allows Access by Registered Sex Offender,5,"(40.7394702, -93.3273639)",1887,531,54,703
2017,19073,Greene,1-Western     ,2-Second JD,Sexual Abuse,7,"(42.0362394, -94.3968356)",1783,180,27,780
2017,19053,Decatur,5-Des Moines  ,5-FifthJD,Presence of Illegal Drugs in Child's System (PID),1,"(40.7376827, -93.7862815)",1777,508,52,763
2017,19069,Franklin,2-Northern    ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),13,"(42.7325458, -93.262473)",279,225,17,775
2017,19121,Madison,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),61,"(41.3307142, -94.0155619)",289,347,29,207
2017,19003,Adams,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),23,"(41.0289839, -94.6991849)",1364,475,48,1
2017,19017,Bremer,2-Northern    ,2-Second JD,Sexual Abuse,1,"(42.7745873, -92.3180548)",177,91,8,6
2017,19169,Story,5-Des Moines  ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),11,"(42.0362415, -93.4650448)",299,126,11,230
2017,19117,Lucas,5-Des Moines  ,5-FifthJD,Dangerous Substance,8,"(41.0293738, -93.3277207)",288,354,29,446
2017,19085,Harrison,1-Western     ,4-FourthJD,Physical Abuse,4,"(41.6828528, -95.8169209)",1787,243,41,569
2017,19061,Dubuque,3-Eastern     ,1-First JD,Presence of Illegal Drugs in Child's System (PID),84,"(42.468832, -90.8824564)",1780,49,5,868
2017,19115,Louisa,3-Eastern     ,8-Eigth JD,Physical Abuse,8,"(41.2185073, -91.2596184)",1828,149,22,587
2017,19115,Louisa,3-Eastern     ,8-Eigth JD,Dangerous Substance,9,"(41.2185073, -91.2596184)",1828,149,22,587
2017,19057,Des Moines,3-Eastern     ,8-Eigth JD,Dangerous Substance,63,"(40.9231829, -91.1814707)",1778,115,10,411
2017,19025,Calhoun,2-Northern    ,2-Second JD,Physical Abuse,7,"(42.3851848, -94.6404136)",1371,326,27,121
2017,19007,Appanoose,4-Cedar Rapids,8-Eigth JD,Denial of Critical Care (Neglect),90,"(40.7431635, -92.8686104)",175,534,54,210
2017,19063,Emmet,1-Western     ,3-Third JD,Sexual Abuse,11,"(43.3780225, -94.6784803)",277,298,23,659
2017,19141,OBrien,1-Western     ,3-Third JD,Sexual Abuse,3,"(43.0837527, -95.6248784)",293,427,37,211
2017,19173,Taylor,1-Western     ,5-FifthJD,Allows Access by Registered Sex Offender,2,"(40.7374324, -94.6964148)",1884,486,50,701
2017,19115,Louisa,3-Eastern     ,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),9,"(41.2185073, -91.2596184)",1828,149,22,587
2017,19149,Plymouth,1-Western     ,3-Third JD,Dangerous Substance,19,"(42.7378346, -96.2140431)",1838,417,36,476
2017,19087,Henry,3-Eastern     ,8-Eigth JD,Sexual Abuse,7,"(40.9879383, -91.5445241)",282,152,13,315
2017,19059,Dickinson,1-Western     ,3-Third JD,Dangerous Substance,9,"(43.3779848, -95.1508301)",1779,419,37,660
2017,19151,Pocahontas,2-Northern    ,2-Second JD,Physical Abuse,5,"(42.7341351, -94.6787466)",295,169,25,352
2017,19039,Clarke,5-Des Moines  ,5-FifthJD,Denial of Critical Care (Neglect),48,"(41.0290323, -93.7851579)",182,349,29,133
2017,19189,Winnebago,2-Northern    ,2-Second JD,Presence of Illegal Drugs in Child's System (PID),6,"(43.3775678, -93.7341955)",1889,205,16,616
2017,19103,Johnson,4-Cedar Rapids,6-SixthJD,Denial of Critical Care (Neglect),202,"(41.6715511, -91.5880849)",1792,287,22,268
2017,19067,Floyd,2-Northern    ,2-Second JD,Dangerous Substance,1,"(43.0599208, -92.7890033)",1781,202,15,27
2017,19165,Shelby,1-Western     ,4-FourthJD,Physical Abuse,1,"(41.6850926, -95.3102113)",298,254,43,229
2017,19069,Franklin,2-Northern    ,2-Second JD,Sexual Abuse,1,"(42.7325458, -93.262473)",279,225,17,775
2017,19177,Van Buren,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),1,"(40.7532294, -91.9499871)",1885,368,30,798
2017,19123,Mahaska,4-Cedar Rapids,8-Eigth JD,Presence of Illegal Drugs in Child's System (PID),12,"(41.3352035, -92.6409094)",290,133,11,914
